text,labels
Ni zaidi ya Asha ngedere,[4]
Tuendelee kuchapa kazi ndugu zangu tena kwa furaha isiyo na kifani.,[1]
waziri anasoma utadhani uamefungwa mashine,[0]
 Ukweli ni kwamba mjinga ndie ambae haoni Magu anachokifanya.,"[4, 5]"
Hapo mlijiridhisha nn sasa??,[5]
samahani . Nimesahau yote kabisa .,[3]
"Kutoka mahali fulani gizani, kikifuatana na kicheko, sauti ya kike  ilianza kuugua na kisha tukasikia kama kilio kwa mbalii",[6]
"ninajisikia maumivu katika ovari zangu, kuzungumza na mimi kama mimi kama kuweka",[3]
Ilikuwa matarajio ya kupata dhahabu ambayo yaliwachochea wanaume hawa wenye usongo wa maisha kufanya juhudi kubwa za kufungua kampuni ,[1]
Huyo zuchu anavyojikuta sasa mmmh,[4]
Lily alipiga risasi ya kutisha haraka juu na chini barabarani. ,[6]
"Kwa bahati mbaya, watu wenye wasiwasi na msongo wanakuwa nyeti na miili yao, hii inawafanya kuwa na wasiwasi wao wenyewe. ",[6]
utawezaje kusex bila kumpa pesa sijui labda wapo ila mm sijawahi kumpata.,[5]
nimepoteza pesa zangu zote kwenye michezo ya bahati nasibu ya kucheza soko la hisa .,[3]
'' Wakati kaka yangu alikuwa na mshtuko wa kifafa na niliogopa ni nini kitatokea kwake. ',[6]
Kweli ? Kusema kweli ni bora hata miguu ya kuku kwa kweli.,[5]
Unaandika kwa uzi upi jombi?,[5]
"Wafanyakazi wanakabiliwa na vijana ambao sio tu wana wasiwasi na hasira juu ya matukio, lakini pia wanaweza kuwa na imani na wale ambao wanajaribu kuwasaidia. ",[2]
Nafurahi sana kwa kuwa umeipenda,[1]
nilikuwa namuona mbezibeach akiwa anakunywa na maashangingi wenzie..matusi sasa uwiiii.,[4]
Utajiri wa ujinga ndio umejaa.,[4]
"Katika dakika ya thelathini, timu zote mbili hazikupata goli hata moja ",[6]
Sio mbaya kueleweshana ndo maana nikasema unishawishi ni kivipi siku ya mauaji iadhimishwe kama siku ya upendo,[5]
Huyo mume alifanya vibaya kwann anaoa kisha kumpeleka huyo bibi kwamke wake??,[4]
Mmoja kati ya watu ninao wakubali hapa nchini ambao ni wanasiasa wewe ni wa pili ukitanguliwa na JP ,[1]
Vijana wengi huhisi kukasirika. ,[2]
"alifanya kama alivyoambiwa, lakini wakati yote yakifanyika hakuweza kujizuia kulia",[3]
Mwenye video anisaidie niweze kuelewa huu uzi.,[0]
Anayelalamika ukabila ndiye wa kwanza kuendekeza ukabila.,[4]
